NM_MUN;CODMUN;0a4anos;5a9anos;10a14anos;15a19anos;20a29anos;30a39anos;40a49anos;50a59anos;60a69anos;70a79anos;80anosemais
ADAMANTINA;350010;1850;1991;1944;2017;4466;5194;5164;4869;4231;2567;1349
ADOLFO;350020;259;297;295;280;560;624;585;607;534;323;114
AGUAI;350030;2038;2254;2272;2300;4775;4778;4780;3956;3236;1791;708
AGUAS DA PRATA;350040;343;434;437;405;799;949;1067;972;1033;654;377
AGUAS DE LINDOIA;350050;811;991;1087;1103;2221;2448;2817;2565;2196;1365;641
AGUAS DE SANTA BARBARA;350055;395;481;543;521;891;942;1018;969;891;532;224
AGUAS DE SAO PEDRO;350060;99;128;156;151;306;312;373;364;446;307;187
AGUDOS;350070;2427;2747;2777;2610;5335;5787;5912;4681;3656;2044;903
ALAMBARI;350075;389;447;464;439;876;933;918;710;680;364;110
ALFREDO MARCONDES;350080;259;283;284;272;558;581;646;608;531;349;185
ALTAIR;350090;200;241;244;235;471;495;537;433;338;201;84
ALTINOPOLIS;350100;1028;1158;1147;1097;2375;2482;2519;2004;1757;1075;514
ALTO ALEGRE;350110;167;201;233;221;406;492;581;539;504;370;169
ALUMINIO;350115;1087;1252;1250;1290;2585;2592;2711;2144;1515;838;327
ALVARES FLORENCE;350120;176;204;232;240;434;442;542;563;595;381;169
ALVARES MACHADO;350130;1819;2029;1883;1829;3994;4095;4008;3587;2757;1554;695
ALVARO DE CARVALHO;350140;191;217;233;238;880;1133;889;460;363;212;80
ALVINLANDIA;350150;168;198;208;204;410;376;438;381;297;166;77
AMERICANA;350160;13121;14824;14667;14759;32839;38946;38838;31940;25916;14344;6461
AMERICO BRASILIENSE;350170;1948;2270;2334;2403;5182;5038;5353;4336;2923;1441;529
AMERICO DE CAMPOS;350180;290;322;361;365;772;749;858;828;761;454;215
AMPARO;350190;3531;4199;4051;4073;9228;10640;11022;8920;7397;4451;2205
ANALANDIA;350200;293;334;325;314;613;662;713;547;495;253;135
ANDRADINA;350210;3306;3800;3814;3746;8179;9176;9220;7989;6558;3895;1790
ANGATUBA;350220;1588;1769;1729;1683;3410;3496;3463;3079;2481;1307;507
ANHEMBI;350230;373;405;438;459;778;725;812;722;606;335;113
ANHUMAS;350240;250;283;271;265;537;571;582;528;426;257;138
APARECIDA;350250;1813;2111;2077;2119;4524;4813;4850;4381;3712;2015;808
APARECIDA D'OESTE;350260;187;229;233;235;487;445;574;653;565;359;157
