"NIVEL_GEOGRAFICO";"ID_LOCALIDADE";"NOME";"ID_GEO"
"Município";"350010";"ADAMANTINA";1
"Município";"350020";"ADOLFO";2
"Município";"350030";"AGUAI";3
"Município";"350040";"AGUAS DA PRATA";4
"Município";"350050";"AGUAS DE LINDOIA";5
"Município";"350055";"AGUAS DE SANTA BARBARA";6
"Município";"350060";"AGUAS DE SAO PEDRO";7
"Município";"350070";"AGUDOS";8
"Município";"350075";"ALAMBARI";9
"Município";"350080";"ALFREDO MARCONDES";10
"Município";"350090";"ALTAIR";11
"Município";"350100";"ALTINOPOLIS";12
"Município";"350110";"ALTO ALEGRE";13
"Município";"350115";"ALUMINIO";14
"Município";"350120";"ALVARES FLORENCE";15
"Município";"350130";"ALVARES MACHADO";16
"Município";"350140";"ALVARO DE CARVALHO";17
"Município";"350150";"ALVINLANDIA";18
"Município";"350160";"AMERICANA";19
"Município";"350170";"AMERICO BRASILIENSE";20
"Município";"350180";"AMERICO DE CAMPOS";21
"Município";"350190";"AMPARO";22
"Município";"350200";"ANALANDIA";23
"Município";"350210";"ANDRADINA";24
"Município";"350220";"ANGATUBA";25
"Município";"350230";"ANHEMBI";26
"Município";"350240";"ANHUMAS";27
"Município";"350250";"APARECIDA";28
"Município";"350260";"APARECIDA DOESTE";29
"Município";"350270";"APIAI";30
"Município";"350275";"ARACARIGUAMA";31
"Município";"350280";"ARACATUBA";32
"Município";"350290";"ARACOIABA DA SERRA";33
"Município";"350300";"ARAMINA";34
"Município";"350310";"ARANDU";35
"Município";"350315";"ARAPEI";36
"Município";"350320";"ARARAQUARA";37
"Município";"350330";"ARARAS";38
"Município";"350335";"ARCO IRIS";39
"Município";"350340";"AREALVA";40
"Município";"350350";"AREIAS";41
"Município";"350360";"AREIOPOLIS";42
"Município";"350370";"ARIRANHA";43
"Município";"350380";"ARTUR NOGUEIRA";44
"Município";"350390";"ARUJA";45
"Município";"350395";"ASPASIA";46
"Município";"350400";"ASSIS";47
"Município";"350410";"ATIBAIA";48
"Município";"350420";"AURIFLAMA";49
"Município";"350430";"AVAI";50
"Município";"350440";"AVANHANDAVA";51
"Município";"350450";"AVARE";52
"Município";"350460";"BADY BASSITT";53
"Município";"350470";"BALBINOS";54
"Município";"350480";"BALSAMO";55
"Município";"350490";"BANANAL";56
"Município";"350500";"BARAO DE ANTONINA";57
"Município";"350510";"BARBOSA";58
"Município";"350520";"BARIRI";59
"Município";"350530";"BARRA BONITA";60
"Município";"350535";"BARRA DO CHAPEU";61
"Município";"350540";"BARRA DO TURVO";62
"Município";"350550";"BARRETOS";63
"Município";"350560";"BARRINHA";64
"Município";"350570";"BARUERI";65
"Município";"350580";"BASTOS";66
"Município";"350590";"BATATAIS";67
"Município";"350600";"BAURU";68
"Município";"350610";"BEBEDOURO";69
"Município";"350620";"BENTO DE ABREU";70
"Município";"350630";"BERNARDINO DE CAMPOS";71
"Município";"350635";"BERTIOGA";72
"Município";"350640";"BILAC";73
"Município";"350650";"BIRIGUI";74
"Município";"350660";"BIRITIBA MIRIM";75
"Município";"350670";"BOA ESPERANCA DO SUL";76
"Município";"350680";"BOCAINA";77
"Município";"350690";"BOFETE";78
"Município";"350700";"BOITUVA";79
"Município";"350710";"BOM JESUS DOS PERDOES";80
"Município";"350715";"BOM SUCESSO DE ITARARE";81
"Município";"350720";"BORA";82
"Município";"350730";"BORACEIA";83
"Município";"350740";"BORBOREMA";84
"Município";"350745";"BOREBI";85
"Município";"350750";"BOTUCATU";86
"Município";"350760";"BRAGANCA PAULISTA";87
"Município";"350770";"BRAUNA";88
"Município";"350775";"BREJO ALEGRE";89
"Município";"350780";"BRODOWSKI";90
"Município";"350790";"BROTAS";91
"Município";"350800";"BURI";92
"Município";"350810";"BURITAMA";93
"Município";"350820";"BURITIZAL";94
"Município";"350830";"CABRALIA PAULISTA";95
"Município";"350840";"CABREUVA";96
"Município";"350850";"CACAPAVA";97
"Município";"350860";"CACHOEIRA PAULISTA";98
"Município";"350870";"CACONDE";99
"Município";"350880";"CAFELANDIA";100
"Município";"350890";"CAIABU";101
"Município";"350900";"CAIEIRAS";102
"Município";"350910";"CAIUA";103
"Município";"350920";"CAJAMAR";104
"Município";"350925";"CAJATI";105
"Município";"350930";"CAJOBI";106
"Município";"350940";"CAJURU";107
"Município";"350945";"CAMPINA DO MONTE ALEGRE";108
"Município";"350950";"CAMPINAS";109
"Município";"350960";"CAMPO LIMPO PAULISTA";110
"Município";"350970";"CAMPOS DO JORDAO";111
"Município";"350980";"CAMPOS NOVOS PAULISTA";112
"Município";"350990";"CANANEIA";113
"Município";"350995";"CANAS";114
"Município";"351000";"CANDIDO MOTA";115
"Município";"351010";"CANDIDO RODRIGUES";116
"Município";"351015";"CANITAR";117
"Município";"351020";"CAPAO BONITO";118
"Município";"351030";"CAPELA DO ALTO";119
"Município";"351040";"CAPIVARI";120
"Município";"351050";"CARAGUATATUBA";121
"Município";"351060";"CARAPICUIBA";122
"Município";"351070";"CARDOSO";123
"Município";"351080";"CASA BRANCA";124
"Município";"351090";"CASSIA DOS COQUEIROS";125
"Município";"351100";"CASTILHO";126
"Município";"351110";"CATANDUVA";127
"Município";"351120";"CATIGUA";128
"Município";"351130";"CEDRAL";129
"Município";"351140";"CERQUEIRA CESAR";130
"Município";"351150";"CERQUILHO";131
"Município";"351160";"CESARIO LANGE";132
"Município";"351170";"CHARQUEADA";133
"Município";"351190";"CLEMENTINA";134
"Município";"351200";"COLINA";135
"Município";"351210";"COLOMBIA";136
"Município";"351220";"CONCHAL";137
"Município";"351230";"CONCHAS";138
"Município";"351240";"CORDEIROPOLIS";139
"Município";"351250";"COROADOS";140
"Município";"351260";"CORONEL MACEDO";141
"Município";"351270";"CORUMBATAI";142
"Município";"351280";"COSMOPOLIS";143
"Município";"351290";"COSMORAMA";144
"Município";"351300";"COTIA";145
"Município";"351310";"CRAVINHOS";146
"Município";"351320";"CRISTAIS PAULISTA";147
"Município";"351330";"CRUZALIA";148
"Município";"351340";"CRUZEIRO";149
"Município";"351350";"CUBATAO";150
"Município";"351360";"CUNHA";151
"Município";"351370";"DESCALVADO";152
"Município";"351380";"DIADEMA";153
"Município";"351385";"DIRCE REIS";154
"Município";"351390";"DIVINOLANDIA";155
"Município";"351400";"DOBRADA";156
"Município";"351410";"DOIS CORREGOS";157
"Município";"351420";"DOLCINOPOLIS";158
"Município";"351430";"DOURADO";159
"Município";"351440";"DRACENA";160
"Município";"351450";"DUARTINA";161
"Município";"351460";"DUMONT";162
"Município";"351470";"ECHAPORA";163
"Município";"351480";"ELDORADO";164
"Município";"351490";"ELIAS FAUSTO";165
"Município";"351492";"ELISIARIO";166
"Município";"351495";"EMBAUBA";167
"Município";"351500";"EMBU DAS ARTES";168
"Município";"351510";"EMBU GUACU";169
"Município";"351512";"EMILIANOPOLIS";170
"Município";"351515";"ENGENHEIRO COELHO";171
"Município";"351518";"ESPIRITO SANTO DO PINHAL";172
"Município";"351519";"ESPIRITO SANTO DO TURVO";173
"Município";"351520";"ESTRELA DOESTE";174
"Município";"351530";"ESTRELA DO NORTE";175
"Município";"351535";"EUCLIDES DA CUNHA PAULISTA";176
"Município";"351540";"FARTURA";177
"Município";"351550";"FERNANDOPOLIS";178
"Município";"351560";"FERNANDO PRESTES";179
"Município";"351565";"FERNAO";180
"Município";"351570";"FERRAZ DE VASCONCELOS";181
"Município";"351580";"FLORA RICA";182
"Município";"351590";"FLOREAL";183
"Município";"351600";"FLORIDA PAULISTA";184
"Município";"351610";"FLORINEA";185
"Município";"351620";"FRANCA";186
"Município";"351630";"FRANCISCO MORATO";187
"Município";"351640";"FRANCO DA ROCHA";188
"Município";"351650";"GABRIEL MONTEIRO";189
"Município";"351660";"GALIA";190
"Município";"351670";"GARCA";191
"Município";"351680";"GASTAO VIDIGAL";192
"Município";"351685";"GAVIAO PEIXOTO";193
"Município";"351690";"GENERAL SALGADO";194
"Município";"351700";"GETULINA";195
"Município";"351710";"GLICERIO";196
"Município";"351720";"GUAICARA";197
"Município";"351730";"GUAIMBE";198
"Município";"351740";"GUAIRA";199
"Município";"351750";"GUAPIACU";200
"Município";"351760";"GUAPIARA";201
"Município";"351770";"GUARA";202
"Município";"351780";"GUARACAI";203
"Município";"351790";"GUARACI";204
"Município";"351800";"GUARANI DOESTE";205
"Município";"351810";"GUARANTA";206
"Município";"351820";"GUARARAPES";207
"Município";"351830";"GUARAREMA";208
"Município";"351840";"GUARATINGUETA";209
"Município";"351850";"GUAREI";210
"Município";"351860";"GUARIBA";211
"Município";"351870";"GUARUJA";212
"Município";"351880";"GUARULHOS";213
"Município";"351885";"GUATAPARA";214
"Município";"351890";"GUZOLANDIA";215
"Município";"351900";"HERCULANDIA";216
"Município";"351905";"HOLAMBRA";217
"Município";"351907";"HORTOLANDIA";218
"Município";"351910";"IACANGA";219
"Município";"351920";"IACRI";220
"Município";"351925";"IARAS";221
"Município";"351930";"IBATE";222
"Município";"351940";"IBIRA";223
"Município";"351950";"IBIRAREMA";224
"Município";"351960";"IBITINGA";225
"Município";"351970";"IBIUNA";226
"Município";"351980";"ICEM";227
"Município";"351990";"IEPE";228
"Município";"352000";"IGARACU DO TIETE";229
"Município";"352010";"IGARAPAVA";230
"Município";"352020";"IGARATA";231
"Município";"352030";"IGUAPE";232
"Município";"352040";"ILHABELA";233
"Município";"352042";"ILHA COMPRIDA";234
"Município";"352044";"ILHA SOLTEIRA";235
"Município";"352050";"INDAIATUBA";236
"Município";"352060";"INDIANA";237
"Município";"352070";"INDIAPORA";238
"Município";"352080";"INUBIA PAULISTA";239
"Município";"352090";"IPAUSSU";240
"Município";"352100";"IPERO";241
"Município";"352110";"IPEUNA";242
"Município";"352115";"IPIGUA";243
"Município";"352120";"IPORANGA";244
"Município";"352130";"IPUA";245
"Município";"352140";"IRACEMAPOLIS";246
"Município";"352150";"IRAPUA";247
"Município";"352160";"IRAPURU";248
"Município";"352170";"ITABERA";249
"Município";"352180";"ITAI";250
"Município";"352190";"ITAJOBI";251
"Município";"352200";"ITAJU";252
"Município";"352210";"ITANHAEM";253
"Município";"352215";"ITAOCA";254
"Município";"352220";"ITAPECERICA DA SERRA";255
"Município";"352230";"ITAPETININGA";256
"Município";"352240";"ITAPEVA";257
"Município";"352250";"ITAPEVI";258
"Município";"352260";"ITAPIRA";259
"Município";"352265";"ITAPIRAPUA PAULISTA";260
"Município";"352270";"ITAPOLIS";261
"Município";"352280";"ITAPORANGA";262
"Município";"352290";"ITAPUI";263
"Município";"352300";"ITAPURA";264
"Município";"352310";"ITAQUAQUECETUBA";265
"Município";"352320";"ITARARE";266
"Município";"352330";"ITARIRI";267
"Município";"352340";"ITATIBA";268
"Município";"352350";"ITATINGA";269
"Município";"352360";"ITIRAPINA";270
"Município";"352370";"ITIRAPUA";271
"Município";"352380";"ITOBI";272
"Município";"352390";"ITU";273
"Município";"352400";"ITUPEVA";274
"Município";"352410";"ITUVERAVA";275
"Município";"352420";"JABORANDI";276
"Município";"352430";"JABOTICABAL";277
"Município";"352440";"JACAREI";278
"Município";"352450";"JACI";279
"Município";"352460";"JACUPIRANGA";280
"Município";"352470";"JAGUARIUNA";281
"Município";"352480";"JALES";282
"Município";"352490";"JAMBEIRO";283
"Município";"352500";"JANDIRA";284
"Município";"352510";"JARDINOPOLIS";285
"Município";"352520";"JARINU";286
"Município";"352530";"JAU";287
"Município";"352540";"JERIQUARA";288
"Município";"352550";"JOANOPOLIS";289
"Município";"352560";"JOAO RAMALHO";290
"Município";"352570";"JOSE BONIFACIO";291
"Município";"352580";"JULIO MESQUITA";292
"Município";"352585";"JUMIRIM";293
"Município";"352590";"JUNDIAI";294
"Município";"352600";"JUNQUEIROPOLIS";295
"Município";"352610";"JUQUIA";296
"Município";"352620";"JUQUITIBA";297
"Município";"352630";"LAGOINHA";298
"Município";"352640";"LARANJAL PAULISTA";299
"Município";"352650";"LAVINIA";300
"Município";"352660";"LAVRINHAS";301
"Município";"352670";"LEME";302
"Município";"352680";"LENCOIS PAULISTA";303
"Município";"352690";"LIMEIRA";304
"Município";"352700";"LINDOIA";305
"Município";"352710";"LINS";306
"Município";"352720";"LORENA";307
"Município";"352725";"LOURDES";308
"Município";"352730";"LOUVEIRA";309
"Município";"352740";"LUCELIA";310
"Município";"352750";"LUCIANOPOLIS";311
"Município";"352760";"LUIS ANTONIO";312
"Município";"352770";"LUIZIANIA";313
"Município";"352780";"LUPERCIO";314
"Município";"352790";"LUTECIA";315
"Município";"352800";"MACATUBA";316
"Município";"352810";"MACAUBAL";317
"Município";"352820";"MACEDONIA";318
"Município";"352830";"MAGDA";319
"Município";"352840";"MAIRINQUE";320
"Município";"352850";"MAIRIPORA";321
"Município";"352860";"MANDURI";322
"Município";"352870";"MARABA PAULISTA";323
"Município";"352880";"MARACAI";324
"Município";"352885";"MARAPOAMA";325
"Município";"352890";"MARIAPOLIS";326
"Município";"352900";"MARILIA";327
"Município";"352910";"MARINOPOLIS";328
"Município";"352920";"MARTINOPOLIS";329
"Município";"352930";"MATAO";330
"Município";"352940";"MAUA";331
"Município";"352950";"MENDONCA";332
"Município";"352960";"MERIDIANO";333
"Município";"352965";"MESOPOLIS";334
"Município";"352970";"MIGUELOPOLIS";335
"Município";"352980";"MINEIROS DO TIETE";336
"Município";"352990";"MIRACATU";337
"Município";"353000";"MIRA ESTRELA";338
"Município";"353010";"MIRANDOPOLIS";339
"Município";"353020";"MIRANTE DO PARANAPANEMA";340
"Município";"353030";"MIRASSOL";341
"Município";"353040";"MIRASSOLANDIA";342
"Município";"353050";"MOCOCA";343
"Município";"353060";"MOGI DAS CRUZES";344
"Município";"353070";"MOGI GUACU";345
"Município";"353080";"MOGI MIRIM";346
"Município";"353090";"MOMBUCA";347
"Município";"353100";"MONCOES";348
"Município";"353110";"MONGAGUA";349
"Município";"353120";"MONTE ALEGRE DO SUL";350
"Município";"353130";"MONTE ALTO";351
"Município";"353140";"MONTE APRAZIVEL";352
"Município";"353150";"MONTE AZUL PAULISTA";353
"Município";"353160";"MONTE CASTELO";354
"Município";"353170";"MONTEIRO LOBATO";355
"Município";"353180";"MONTE MOR";356
"Município";"353190";"MORRO AGUDO";357
"Município";"353200";"MORUNGABA";358
"Município";"353205";"MOTUCA";359
"Município";"353210";"MURUTINGA DO SUL";360
"Município";"353215";"NANTES";361
"Município";"353220";"NARANDIBA";362
"Município";"353230";"NATIVIDADE DA SERRA";363
"Município";"353240";"NAZARE PAULISTA";364
"Município";"353250";"NEVES PAULISTA";365
"Município";"353260";"NHANDEARA";366
"Município";"353270";"NIPOA";367
"Município";"353280";"NOVA ALIANCA";368
"Município";"353282";"NOVA CAMPINA";369
"Município";"353284";"NOVA CANAA PAULISTA";370
"Município";"353286";"NOVA CASTILHO";371
"Município";"353290";"NOVA EUROPA";372
"Município";"353300";"NOVA GRANADA";373
"Município";"353310";"NOVA GUATAPORANGA";374
"Município";"353320";"NOVA INDEPENDENCIA";375
"Município";"353325";"NOVAIS";376
"Município";"353330";"NOVA LUZITANIA";377
"Município";"353340";"NOVA ODESSA";378
"Município";"353350";"NOVO HORIZONTE";379
"Município";"353360";"NUPORANGA";380
"Município";"353370";"OCAUCU";381
"Município";"353380";"OLEO";382
"Município";"353390";"OLIMPIA";383
"Município";"353400";"ONDA VERDE";384
"Município";"353410";"ORIENTE";385
"Município";"353420";"ORINDIUVA";386
"Município";"353430";"ORLANDIA";387
"Município";"353440";"OSASCO";388
"Município";"353450";"OSCAR BRESSANE";389
"Município";"353460";"OSVALDO CRUZ";390
"Município";"353470";"OURINHOS";391
"Município";"353475";"OUROESTE";392
"Município";"353480";"OURO VERDE";393
"Município";"353490";"PACAEMBU";394
"Município";"353500";"PALESTINA";395
"Município";"353510";"PALMARES PAULISTA";396
"Município";"353520";"PALMEIRA DOESTE";397
"Município";"353530";"PALMITAL";398
"Município";"353540";"PANORAMA";399
"Município";"353550";"PARAGUACU PAULISTA";400
"Município";"353560";"PARAIBUNA";401
"Município";"353570";"PARAISO";402
"Município";"353580";"PARANAPANEMA";403
"Município";"353590";"PARANAPUA";404
"Município";"353600";"PARAPUA";405
"Município";"353610";"PARDINHO";406
"Município";"353620";"PARIQUERA ACU";407
"Município";"353625";"PARISI";408
"Município";"353630";"PATROCINIO PAULISTA";409
"Município";"353640";"PAULICEIA";410
"Município";"353650";"PAULINIA";411
"Município";"353657";"PAULISTANIA";412
"Município";"353660";"PAULO DE FARIA";413
"Município";"353670";"PEDERNEIRAS";414
"Município";"353680";"PEDRA BELA";415
"Município";"353690";"PEDRANOPOLIS";416
"Município";"353700";"PEDREGULHO";417
"Município";"353710";"PEDREIRA";418
"Município";"353715";"PEDRINHAS PAULISTA";419
"Município";"353720";"PEDRO DE TOLEDO";420
"Município";"353730";"PENAPOLIS";421
"Município";"353740";"PEREIRA BARRETO";422
"Município";"353750";"PEREIRAS";423
"Município";"353760";"PERUIBE";424
"Município";"353770";"PIACATU";425
"Município";"353780";"PIEDADE";426
"Município";"353790";"PILAR DO SUL";427
"Município";"353800";"PINDAMONHANGABA";428
"Município";"353810";"PINDORAMA";429
"Município";"353820";"PINHALZINHO";430
