"ANO";"NOME";"Notificacoes_Estupro";"nivel_geografico";"total_72h";"casos_72h";"Oportunidade_72h";"total_pep";"casos_72h_pep";"PEP_72h";"total_contr";"casos_72h_contr";"Contracepção_72h_MIF";"COD_6_mun"
2015;"AGUAI";1;"Município";1;1;100;0;0;0;0;0;0;"350030"
2015;"AGUAS DE LINDOIA";3;"Município";3;3;100;2;2;100;1;1;100;"350050"
2015;"AGUDOS";4;"Município";4;4;100;3;3;100;2;2;100;"350070"
2015;"ALUMINIO";1;"Município";1;0;0;0;0;0;0;0;0;"350115"
2015;"AMERICANA";18;"Município";18;18;100;10;10;100;3;3;100;"350160"
2015;"AMERICO BRASILIENSE";2;"Município";2;2;100;0;0;0;0;0;0;"350170"
2015;"AMERICO DE CAMPOS";1;"Município";1;1;100;1;1;100;1;1;100;"350180"
2015;"AMPARO";6;"Município";6;5;83,33;2;2;100;1;1;100;"350190"
2015;"ANDRADINA";7;"Município";7;7;100;3;3;100;1;1;100;"350210"
2015;"ANHEMBI";1;"Município";1;1;100;1;1;100;0;0;0;"350230"
2015;"APARECIDA";5;"Município";5;5;100;3;3;100;3;3;100;"350250"
2015;"APIAI";2;"Município";2;0;0;0;0;0;0;0;0;"350270"
2015;"ARACARIGUAMA";10;"Município";10;7;70;0;0;0;0;0;0;"350275"
2015;"ARACATUBA";7;"Município";7;7;100;7;7;100;2;2;100;"350280"
2015;"ARAMINA";1;"Município";1;1;100;1;1;100;1;1;100;"350300"
2015;"ARARAQUARA";14;"Município";14;14;100;6;6;100;3;3;100;"350320"
2015;"ARARAS";2;"Município";2;2;100;0;0;0;0;0;0;"350330"
2015;"AREIOPOLIS";3;"Município";3;3;100;3;3;100;0;0;0;"350360"
2015;"ARTUR NOGUEIRA";4;"Município";4;4;100;2;2;100;1;1;100;"350380"
2015;"ARUJA";10;"Município";10;10;100;0;0;0;0;0;0;"350390"
2015;"ASSIS";8;"Município";8;8;100;7;7;100;2;2;100;"350400"
2015;"ATIBAIA";5;"Município";5;5;100;3;3;100;1;1;100;"350410"
2015;"AVARE";2;"Município";2;1;50;2;1;50;0;0;0;"350450"
2015;"BADY BASSITT";3;"Município";3;2;66,67;3;2;66,67;0;0;0;"350460"
2015;"BALSAMO";2;"Município";2;2;100;0;0;0;0;0;0;"350480"
2015;"BARIRI";1;"Município";1;1;100;1;1;100;0;0;0;"350520"
2015;"BARRA DO TURVO";1;"Município";1;0;0;0;0;0;0;0;0;"350540"
2015;"BARRETOS";5;"Município";5;5;100;3;3;100;2;2;100;"350550"
2015;"BARRINHA";4;"Município";4;4;100;3;3;100;3;3;100;"350560"
2015;"BARUERI";37;"Município";37;30;81,08;1;0;0;0;0;0;"350570"
2015;"BATATAIS";2;"Município";2;2;100;0;0;0;0;0;0;"350590"
2015;"BAURU";33;"Município";33;31;93,94;23;23;100;17;16;94,12;"350600"
2015;"BEBEDOURO";2;"Município";2;2;100;2;2;100;1;1;100;"350610"
2015;"BERTIOGA";6;"Município";6;6;100;3;3;100;0;0;0;"350635"
2015;"BIRIGUI";7;"Município";7;7;100;2;2;100;1;1;100;"350650"
2015;"BIRITIBA MIRIM";1;"Município";1;1;100;0;0;0;0;0;0;"350660"
2015;"BOA ESPERANCA DO SUL";1;"Município";1;1;100;1;1;100;1;1;100;"350670"
2015;"BOITUVA";9;"Município";9;7;77,78;2;2;100;1;1;100;"350700"
2015;"BOM JESUS DOS PERDOES";1;"Município";1;1;100;0;0;0;1;1;100;"350710"
2015;"BORBOREMA";1;"Município";1;1;100;1;1;100;1;1;100;"350740"
2015;"BOTUCATU";34;"Município";34;29;85,29;19;19;100;3;3;100;"350750"
2015;"BRAGANCA PAULISTA";31;"Município";31;31;100;14;14;100;7;7;100;"350760"
2015;"BRODOWSKI";2;"Município";2;2;100;1;1;100;1;1;100;"350780"
2015;"BURI";4;"Município";4;4;100;2;2;100;1;1;100;"350800"
2015;"CABREUVA";3;"Município";3;3;100;3;3;100;3;3;100;"350840"
2015;"CACAPAVA";9;"Município";9;9;100;3;3;100;3;3;100;"350850"
2015;"CACHOEIRA PAULISTA";4;"Município";4;4;100;2;2;100;0;0;0;"350860"
2015;"CACONDE";1;"Município";1;1;100;1;1;100;1;1;100;"350870"
2015;"CAIEIRAS";2;"Município";2;2;100;1;1;100;0;0;0;"350900"
2015;"CAJAMAR";3;"Município";3;3;100;1;1;100;0;0;0;"350920"
2015;"CAJATI";4;"Município";4;4;100;1;1;100;1;1;100;"350925"
