"MUNICIPIO";"SEXO";"ANOOBITO";"GRUPO_transito";"obitos";"grupo_causa_externa";"Nivel_Geografico";"FAIXA_ETARIA";"populacao";"taxa_mortalidade";"NOME_MUNICIPIO"
"350000";"Masculino";2015;"Carro";1;"Transito";"Municipio";;;;
"350000";"Masculino";2015;"Transito_todas";1;"Transito";"Municipio";;;;
"350000";"Total";2015;"Carro";1;"Transito";"Municipio";;;;
"350000";"Total";2015;"Transito_todas";1;"Transito";"Municipio";;;;
"350010";"Feminino";2015;"Transito_todas";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Feminino";2017;"Pedestre";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Feminino";2017;"Transito_todas";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Feminino";2019;"Moto";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Feminino";2019;"Transito_todas";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Feminino";2021;"Carro";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Feminino";2021;"Moto";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Feminino";2021;"Transito_todas";2;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Feminino";2022;"Carro";3;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Feminino";2022;"Pedestre";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Feminino";2022;"Transito_todas";4;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Feminino";2023;"Pedestre";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Feminino";2023;"Transito_todas";2;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Feminino";2024;"Moto";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Feminino";2024;"Pedestre";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Feminino";2024;"Transito_todas";2;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Masculino";2015;"Carro";2;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Masculino";2015;"Moto";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Masculino";2015;"Pedestre";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Masculino";2015;"Transito_todas";4;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Masculino";2016;"Moto";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Masculino";2016;"Pedestre";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Masculino";2016;"Transito_todas";5;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Masculino";2017;"Moto";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Masculino";2017;"Transito_todas";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Masculino";2018;"Transito_todas";2;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Masculino";2019;"Moto";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Masculino";2019;"Pedestre";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Masculino";2019;"Transito_todas";2;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Masculino";2020;"Carro";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Masculino";2020;"Moto";2;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Masculino";2020;"Transito_todas";5;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Masculino";2021;"Carro";5;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Masculino";2021;"Transito_todas";5;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Masculino";2022;"Carro";3;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Masculino";2022;"Moto";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Masculino";2022;"Transito_todas";4;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Masculino";2023;"Carro";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Masculino";2023;"Moto";2;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Masculino";2023;"Pedestre";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Masculino";2023;"Transito_todas";5;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Masculino";2024;"Moto";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Masculino";2024;"Pedestre";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Masculino";2024;"Transito_todas";2;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2015;"Carro";2;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2015;"Moto";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2015;"Pedestre";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2015;"Transito_todas";5;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2016;"Moto";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2016;"Pedestre";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2016;"Transito_todas";5;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2017;"Moto";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2017;"Pedestre";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2017;"Transito_todas";2;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2018;"Transito_todas";2;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2019;"Moto";2;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2019;"Pedestre";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2019;"Transito_todas";3;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2020;"Carro";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2020;"Moto";2;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2020;"Transito_todas";5;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2021;"Carro";6;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2021;"Moto";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2021;"Transito_todas";7;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2022;"Carro";6;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2022;"Moto";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2022;"Pedestre";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2022;"Transito_todas";8;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2023;"Carro";1;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2023;"Moto";2;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2023;"Pedestre";2;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2023;"Transito_todas";7;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2024;"Moto";2;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2024;"Pedestre";2;"Transito";"Municipio";;;;"ADAMANTINA"
"350010";"Total";2024;"Transito_todas";4;"Transito";"Municipio";;;;"ADAMANTINA"
"350020";"Feminino";2022;"Pedestre";1;"Transito";"Municipio";;;;"ADOLFO"
"350020";"Feminino";2022;"Transito_todas";1;"Transito";"Municipio";;;;"ADOLFO"
"350020";"Masculino";2016;"Pedestre";1;"Transito";"Municipio";;;;"ADOLFO"
"350020";"Masculino";2016;"Transito_todas";1;"Transito";"Municipio";;;;"ADOLFO"
"350020";"Total";2016;"Pedestre";1;"Transito";"Municipio";;;;"ADOLFO"
"350020";"Total";2016;"Transito_todas";1;"Transito";"Municipio";;;;"ADOLFO"
"350020";"Total";2022;"Pedestre";1;"Transito";"Municipio";;;;"ADOLFO"
"350020";"Total";2022;"Transito_todas";1;"Transito";"Municipio";;;;"ADOLFO"
"350030";"Feminino";2015;"Moto";1;"Transito";"Municipio";;;;"AGUAI"
"350030";"Feminino";2015;"Pedestre";1;"Transito";"Municipio";;;;"AGUAI"
"350030";"Feminino";2015;"Transito_todas";3;"Transito";"Municipio";;;;"AGUAI"
"350030";"Feminino";2016;"Moto";1;"Transito";"Municipio";;;;"AGUAI"
"350030";"Feminino";2016;"Transito_todas";1;"Transito";"Municipio";;;;"AGUAI"
"350030";"Feminino";2018;"Carro";1;"Transito";"Municipio";;;;"AGUAI"
"350030";"Feminino";2018;"Transito_todas";2;"Transito";"Municipio";;;;"AGUAI"
"350030";"Feminino";2019;"Carro";1;"Transito";"Municipio";;;;"AGUAI"
"350030";"Feminino";2019;"Transito_todas";1;"Transito";"Municipio";;;;"AGUAI"
"350030";"Feminino";2020;"Carro";1;"Transito";"Municipio";;;;"AGUAI"
"350030";"Feminino";2020;"Transito_todas";2;"Transito";"Municipio";;;;"AGUAI"
"350030";"Feminino";2021;"Ciclista";1;"Transito";"Municipio";;;;"AGUAI"
"350030";"Feminino";2021;"Transito_todas";1;"Transito";"Municipio";;;;"AGUAI"
"350030";"Feminino";2022;"Carro";1;"Transito";"Municipio";;;;"AGUAI"
"350030";"Feminino";2022;"Transito_todas";1;"Transito";"Municipio";;;;"AGUAI"
"350030";"Feminino";2023;"Transito_todas";1;"Transito";"Municipio";;;;"AGUAI"
"350030";"Masculino";2015;"Carro";1;"Transito";"Municipio";;;;"AGUAI"
"350030";"Masculino";2015;"Pedestre";1;"Transito";"Municipio";;;;"AGUAI"
"350030";"Masculino";2015;"Transito_todas";3;"Transito";"Municipio";;;;"AGUAI"
"350030";"Masculino";2016;"Moto";1;"Transito";"Municipio";;;;"AGUAI"
"350030";"Masculino";2016;"Pedestre";1;"Transito";"Municipio";;;;"AGUAI"
"350030";"Masculino";2016;"Transito_todas";5;"Transito";"Municipio";;;;"AGUAI"
"350030";"Masculino";2017;"Carro";2;"Transito";"Municipio";;;;"AGUAI"
"350030";"Masculino";2017;"Pedestre";1;"Transito";"Municipio";;;;"AGUAI"
"350030";"Masculino";2017;"Transito_todas";4;"Transito";"Municipio";;;;"AGUAI"
"350030";"Masculino";2018;"Carro";1;"Transito";"Municipio";;;;"AGUAI"
"350030";"Masculino";2018;"Moto";1;"Transito";"Municipio";;;;"AGUAI"
"350030";"Masculino";2018;"Transito_todas";2;"Transito";"Municipio";;;;"AGUAI"
"350030";"Masculino";2019;"Carro";2;"Transito";"Municipio";;;;"AGUAI"
"350030";"Masculino";2019;"Moto";3;"Transito";"Municipio";;;;"AGUAI"
"350030";"Masculino";2019;"Transito_todas";6;"Transito";"Municipio";;;;"AGUAI"
"350030";"Masculino";2020;"Moto";2;"Transito";"Municipio";;;;"AGUAI"
"350030";"Masculino";2020;"Transito_todas";3;"Transito";"Municipio";;;;"AGUAI"
"350030";"Masculino";2021;"Carro";3;"Transito";"Municipio";;;;"AGUAI"
"350030";"Masculino";2021;"Moto";2;"Transito";"Municipio";;;;"AGUAI"
"350030";"Masculino";2021;"Transito_todas";5;"Transito";"Municipio";;;;"AGUAI"
"350030";"Masculino";2022;"Moto";1;"Transito";"Municipio";;;;"AGUAI"
"350030";"Masculino";2022;"Transito_todas";4;"Transito";"Municipio";;;;"AGUAI"
"350030";"Masculino";2024;"Transito_todas";1;"Transito";"Municipio";;;;"AGUAI"
"350030";"Total";2015;"Carro";1;"Transito";"Municipio";;;;"AGUAI"
"350030";"Total";2015;"Moto";1;"Transito";"Municipio";;;;"AGUAI"
"350030";"Total";2015;"Pedestre";2;"Transito";"Municipio";;;;"AGUAI"
"350030";"Total";2015;"Transito_todas";6;"Transito";"Municipio";;;;"AGUAI"
"350030";"Total";2016;"Moto";2;"Transito";"Municipio";;;;"AGUAI"
"350030";"Total";2016;"Pedestre";1;"Transito";"Municipio";;;;"AGUAI"
"350030";"Total";2016;"Transito_todas";6;"Transito";"Municipio";;;;"AGUAI"
"350030";"Total";2017;"Carro";2;"Transito";"Municipio";;;;"AGUAI"
"350030";"Total";2017;"Pedestre";1;"Transito";"Municipio";;;;"AGUAI"
"350030";"Total";2017;"Transito_todas";4;"Transito";"Municipio";;;;"AGUAI"
"350030";"Total";2018;"Carro";2;"Transito";"Municipio";;;;"AGUAI"
"350030";"Total";2018;"Moto";1;"Transito";"Municipio";;;;"AGUAI"
"350030";"Total";2018;"Transito_todas";4;"Transito";"Municipio";;;;"AGUAI"
"350030";"Total";2019;"Carro";3;"Transito";"Municipio";;;;"AGUAI"
"350030";"Total";2019;"Moto";3;"Transito";"Municipio";;;;"AGUAI"
"350030";"Total";2019;"Transito_todas";7;"Transito";"Municipio";;;;"AGUAI"
