ID_GEO;ID_LOCALIDADE;NOME;RS;RRAS
1;350010;ADAMANTINA;ADAMANTINA ;RRAS10
2;350020;ADOLFO;JOSE BONIFACIO;RRAS12
3;350030;AGUAI;MANTIQUEIRA;RRAS15
4;350040;AGUAS DA PRATA;MANTIQUEIRA;RRAS15
5;350050;AGUAS DE LINDOIA;CIRCUITO DAS AGUAS;RRAS15
6;350055;AGUAS DE SANTA BARBARA;VALE DO JURUMIRIM;RRAS09
7;350060;AGUAS DE SAO PEDRO;PIRACICABA;RRAS14
8;350070;AGUDOS;BAURU;RRAS09
9;350075;ALAMBARI;ITAPETININGA;RRAS08
10;350080;ALFREDO MARCONDES;ALTA SOROCABANA;RRAS11
11;350090;ALTAIR;NORTE BARRETOS;RRAS13
12;350100;ALTINOPOLIS;VALE DAS CACHOEIRAS;RRAS13
13;350110;ALTO ALEGRE;CONSORCIOS DO DRS II;RRAS19
14;350115;ALUMINIO;SOROCABA;RRAS08
15;350120;ALVARES FLORENCE;VOTUPORANGA;RRAS12
16;350130;ALVARES MACHADO;ALTA SOROCABANA;RRAS11
17;350140;ALVARO DE CARVALHO;MARILIA;RRAS10
18;350150;ALVINLANDIA;MARILIA;RRAS10
19;350160;AMERICANA;REG METRO CAMPINAS;RRAS15
20;350170;AMERICO BRASILIENSE;CENTRAL DO DRS III;RRAS18
21;350180;AMERICO DE CAMPOS;VOTUPORANGA;RRAS12
22;350190;AMPARO;CIRCUITO DAS AGUAS;RRAS15
23;350200;ANALANDIA;RIO CLARO;RRAS14
24;350210;ANDRADINA;LAGOS DO DRS II;RRAS19
25;350220;ANGATUBA;ITAPETININGA;RRAS08
26;350230;ANHEMBI;POLO CUESTA;RRAS09
27;350240;ANHUMAS;ALTA SOROCABANA;RRAS11
28;350250;APARECIDA;CIRCUITO DA FE VALE HISTORICO;RRAS17
29;350260;APARECIDA DOESTE;JALES;RRAS12
30;350270;APIAI;ITAPEVA;RRAS08
31;350275;ARACARIGUAMA;SOROCABA;RRAS08
32;350280;ARACATUBA;CENTRAL DO DRS II;RRAS19
33;350290;ARACOIABA DA SERRA;SOROCABA;RRAS08
34;350300;ARAMINA;ALTA MOGIANA;RRAS13
35;350310;ARANDU;VALE DO JURUMIRIM;RRAS09
36;350315;ARAPEI;CIRCUITO DA FE VALE HISTORICO;RRAS17
37;350320;ARARAQUARA;CENTRAL DO DRS III;RRAS18
38;350330;ARARAS;ARARAS;RRAS14
39;350335;ARCO IRIS;TUPA;RRAS10
40;350340;AREALVA;BAURU;RRAS09
41;350350;AREIAS;CIRCUITO DA FE VALE HISTORICO;RRAS17
42;350360;AREIOPOLIS;POLO CUESTA;RRAS09
43;350370;ARIRANHA;CATANDUVA;RRAS12
44;350380;ARTUR NOGUEIRA;REG METRO CAMPINAS;RRAS15
45;350390;ARUJA;ALTO DO TIETE;RRAS02
46;350395;ASPASIA;JALES;RRAS12
47;350400;ASSIS;ASSIS;RRAS10
48;350410;ATIBAIA;BRAGANCA;RRAS16
49;350420;AURIFLAMA;CENTRAL DO DRS II;RRAS19
50;350430;AVAI;BAURU;RRAS09
51;350440;AVANHANDAVA;CONSORCIOS DO DRS II;RRAS19
52;350450;AVARE;VALE DO JURUMIRIM;RRAS09
53;350460;BADY BASSITT;SAO JOSE DO RIO PRETO;RRAS12
54;350470;BALBINOS;BAURU;RRAS09
55;350480;BALSAMO;SAO JOSE DO RIO PRETO;RRAS12
56;350490;BANANAL;CIRCUITO DA FE VALE HISTORICO;RRAS17
57;350500;BARAO DE ANTONINA;VALE DO JURUMIRIM;RRAS09
58;350510;BARBOSA;CONSORCIOS DO DRS II;RRAS19
59;350520;BARIRI;JAU;RRAS09
60;350530;BARRA BONITA;JAU;RRAS09
61;350535;BARRA DO CHAPEU;ITAPEVA;RRAS08
62;350540;BARRA DO TURVO;VALE DO RIBEIRA;RRAS07
63;350550;BARRETOS;NORTE BARRETOS;RRAS13
64;350560;BARRINHA;HORIZONTE VERDE;RRAS13
65;350570;BARUERI;ROTA DOS BANDEIRANTES;RRAS05
66;350580;BASTOS;TUPA;RRAS10
67;350590;BATATAIS;VALE DAS CACHOEIRAS;RRAS13
68;350600;BAURU;BAURU;RRAS09
69;350610;BEBEDOURO;SUL BARRETOS;RRAS13
70;350620;BENTO DE ABREU;CENTRAL DO DRS II;RRAS19
71;350630;BERNARDINO DE CAMPOS;OURINHOS;RRAS10
72;350635;BERTIOGA;BAIXADA SANTISTA;RRAS07
73;350640;BILAC;CENTRAL DO DRS II;RRAS19
74;350650;BIRIGUI;CONSORCIOS DO DRS II;RRAS19
75;350660;BIRITIBA MIRIM;ALTO DO TIETE;RRAS02
76;350670;BOA ESPERANCA DO SUL;CENTRAL DO DRS III;RRAS18
77;350680;BOCAINA;JAU;RRAS09
78;350690;BOFETE;POLO CUESTA;RRAS09
79;350700;BOITUVA;SOROCABA;RRAS08
80;350710;BOM JESUS DOS PERDOES;BRAGANCA;RRAS16
81;350715;BOM SUCESSO DE ITARARE;ITAPEVA;RRAS08
82;350720;BORA;ASSIS;RRAS10
83;350730;BORACEIA;JAU;RRAS09
84;350740;BORBOREMA;NOROESTE DRS III;RRAS18
85;350745;BOREBI;BAURU;RRAS09
86;350750;BOTUCATU;POLO CUESTA;RRAS09
87;350760;BRAGANCA PAULISTA;BRAGANCA;RRAS16
88;350770;BRAUNA;CONSORCIOS DO DRS II;RRAS19
89;350775;BREJO ALEGRE;CONSORCIOS DO DRS II;RRAS19
90;350780;BRODOWSKI;VALE DAS CACHOEIRAS;RRAS13
91;350790;BROTAS;JAU;RRAS09
92;350800;BURI;ITAPEVA;RRAS08
93;350810;BURITAMA;CONSORCIOS DO DRS II;RRAS19
94;350820;BURITIZAL;ALTA MOGIANA;RRAS13
95;350830;CABRALIA PAULISTA;BAURU;RRAS09
96;350840;CABREUVA;JUNDIAI;RRAS16
97;350850;CACAPAVA;ALTO VALE DO PARAIBA;RRAS17
98;350860;CACHOEIRA PAULISTA;CIRCUITO DA FE VALE HISTORICO;RRAS17
